,value
0,25.54276230189638
1,132.29278094214015
2,154.69170241062983
3,125.29114470862947
4,60.029480698131465
5,123.52273945610608
6,49.16124004292676
7,70.78236659690147
8,52.49634006993595
9,90.44838812364013
10,109.78585685525763
11,98.3003014420425
12,95.56500655396796
13,84.16331763767478
14,42.4835623361005
15,83.3038660018331
16,62.77506870066672
17,125.96683420307053
18,52.985609637260545
19,61.64058150132857
20,20.0
21,95.94969377704872
22,81.98314578785153
23,93.52904561381705
24,104.06740595111005
25,137.4045443784616
26,94.82327292014114
27,75.01761784920863
28,25.67201040395517
29,118.1253674350067
30,124.99147270373388
31,59.32541053600533
32,78.5969077385579
33,118.88304557837846
34,60.81929907487458
35,57.99664037534038
36,127.5240414557003
37,102.89846532634115
38,89.34610383618201
39,162.9020775294643
40,101.96995559830039
41,26.54067040318862
42,112.7465156286427
43,50.16955494432253
44,82.38658681762307
45,90.05251475070204
46,51.12344155702526
47,134.31853685531172
48,48.26168234282125
49,20.0
50,51.90066707056641
51,107.553774344158
52,61.09278196910087
53,54.2377969467616
54,66.5383694418529
55,72.8776257522726
56,99.3242658523454
57,66.3610707476796
58,74.09659847776192
59,35.007968776244596
60,20.0
61,183.89482965907916
62,106.3041492349482
63,86.98654293622342
64,121.3580359722019
65,20.0
66,67.21838378298914
67,100.5330438875729
68,114.97421786485151
69,91.17982289616593
70,169.9309720073756
71,102.66013140988899
72,65.22165204500382
73,68.73428888762788
74,60.90394291184589
75,35.681423192883
76,156.46384608289517
77,164.29527812858075
78,80.2284301083854
79,75.28811115108513
80,101.93452378229378
81,124.81195948124254
82,67.68014445212314
83,98.77082978214416
84,71.00298675658772
85,44.461002703956694
86,70.54879466615157
87,33.79580156269487
88,72.61757111500161
89,161.2361298080894
90,93.30267132285739
91,89.50405022502261
92,100.19179308062988
93,86.50271368326938
94,89.21155331232556
95,124.71822330757057
96,112.13197548112824
97,104.45023124109927
98,126.09851408825858
99,112.25697100917891
100,20.0
101,54.25951693543327
102,58.38288725478952
103,138.68925581770768
104,120.60686153032094
105,166.841201181373
106,39.60151380158172
107,95.1173322894035
108,38.903251162736225
109,103.47902839813923
110,101.79180279179982
111,120.79578284191098
112,52.41721688177313
113,155.49743068461584
114,24.790265649129225
115,61.79788516450252
116,89.41313024732226
117,98.98185563591369
118,108.46738282751879
119,50.30509959254154
120,127.06274725110623
121,118.53857023843359
122,121.36731228463366
123,59.75022821028117
124,84.00911595883721
125,39.568071809082085
126,50.43293837987644
127,76.26472825603703
128,54.699448594203616
129,99.16481534597716
130,171.3657817541595
131,135.54483297014423
132,141.26787558522636
133,70.27980185791428
134,102.46657172128951
135,71.98101054179199
136,103.92249673507985
137,26.146971562739154
138,85.74788694707766
139,148.4779969662056
140,90.38721721409075
141,145.79055085512573
142,75.66893124896545
143,83.86216548716624
144,62.65051504741813
145,106.16039133481104
146,111.25212761902664
147,43.50293528597316
148,81.69479608548819
149,37.4596088359624
150,64.07557466398309
151,96.78720827339909
152,127.76254806241678
153,67.5684587869292
154,53.47873431111823
155,78.20065768035818
156,97.92634004035648
157,122.98989747018905
158,140.71795329330374
159,72.1926287894452
160,88.10864875783818
161,119.43265362098232
162,162.1295887969211
163,70.80126674711005
164,95.5643236341942
165,95.69731076110821
166,118.89054677683791
167,81.72388636485566
168,119.88416103660228
169,43.31869872974466
170,82.05714941888094
171,28.775709774553107
172,102.09315189764865
173,62.776298907145744
174,42.00740407114681
175,134.97227365591144
176,72.20577498392873
177,75.23625634266725
178,71.21880099371795
179,115.40553220132976
180,144.7711586350889
181,80.22398901467008
182,148.65815631555432
183,61.548149196184
184,145.21011997072105
185,81.65473098293586
186,39.22723174817977
187,51.394848247204024
188,105.92601294132515
189,90.80978629551369
190,68.87838715931053
191,86.6590386174616
192,115.2771583706024
193,123.7193454167936
194,79.39670260517404
195,59.399411558837926
196,100.10673503650008
197,63.18383698536856
198,99.50910823423663
199,101.39001086226804
200,40.30893168103301
201,114.40292173349576
202,20.0
203,169.59871926485556
204,78.71416682898196
205,43.95560911816869
206,54.3839317728451
207,34.78307211565128
208,175.37485549535842
209,134.52402598379604
210,34.480328704318794
211,37.1598667585549
212,38.23983492878268
213,110.35526304397774
214,77.02430608187764
215,62.147065377930595
216,52.095536619328975
217,55.903377338538505
218,64.7330076925727
219,83.7700042216409
220,127.60855042531577
221,51.385982503589325
222,42.96003358146894
223,144.4364834750586
224,67.45850289715824
225,38.48826238146481
226,164.4717255566053
227,105.7000952877099
228,22.844580244899646
229,155.72296113703896
230,20.0
231,99.53004993074565
232,93.38145056721824
233,129.33239181030962
234,122.86559792107275
235,53.94145365368488
236,105.32289677361757
237,123.23036081507195
238,61.04231668373998
239,54.320257306429184
240,135.8003813662293
241,104.36562717116897
242,106.1345781308092
243,165.40623029199787
244,155.5921124758475
245,47.82099610461427
246,50.44704768008888
247,109.7667074099952
248,61.839168221700746
249,56.87588047296774
250,78.36226365860654
251,44.78684422208683
252,119.05657334702232
253,93.86845731873751
254,89.20995408072878
255,39.26349200554997
256,81.03216634818041
257,55.72206823992033
258,116.68622479061446
259,116.9182662866017
260,59.19655536651972
261,97.55087652087735
262,85.74479163319772
263,68.99164497459607
264,56.36001221793322
265,106.19422207240271
266,130.55409224095348
267,110.63633930714846
268,78.81040716089585
269,133.27988595182057
270,62.41245956145195
271,89.44031140902285
272,117.1958819357132
273,114.13893745630824
274,92.27384172484706
275,48.60552713823113
276,59.70207563185935
277,54.76511251415003
278,120.28139736837511
279,32.57004943683523
280,81.96246385736254
281,143.0355110868582
282,93.83249180399109
283,52.32781759696483
284,58.67270292820258
285,73.85119350563912
286,86.37572753821313
287,160.75039523644568
288,78.90817999239401
289,109.8970951478579
290,118.42629201535395
291,49.57153043253668
292,108.80569310000108
293,115.18873626090149
294,52.67910930652584
295,65.1913574464207
296,95.36179779079791
